Code,Mum,Dad
LAM90,CMO78,RED81
MEA90,BAR84,TIT79
OAT90,BAR83,RED77
OCH90,SAF80,FORTS
OXL90,PRI79,NA
PEC90,SCO76,BITES
PEN90,BAR80,TIT79
PIC90,MUS85,RED79
PTN90,LIM83,RHY82
SAF90,CRT76,CUR81
SEM90,WHE84,NA
SME90,TEA78,RED79
SUL90,TER80,RED77
TNY90,TIT84,TRA83
TOG90,BCL84,RED81
VIO90,CLA85,RHY82
WOD90,CAP84,RED79
ALB91,FUL87,BAR82
ANK91,KIL82,SCO81
AST91,GAL85,SOR84
BCL91,BUC81,FOL84
BEE91,PET85,TYS83
CAF91,MAX84,CONFI
CCO91,LAM83,BITES
CFI91,CFU82,TYS83
CGH91,WHA87,CHE82
CHP91,BLC83,NA
CLT91,CCO87,FAN85
COU91,CUC84,LEN83
CRB91,MOC84,BAR82
CUC91,UMB80,LEN83
CWR91,LIM80,SAF82
DAN91,BUC82,CRE80
DIC91,HIC84,SAF82
DIT91,PIB83,OCH83
DUN91,WHA83,SCO81
EGR91,IBI84,BITES
EOL91,CAN80,KIW85
FEA91,PLO82,AVO84
FLA91,UPT79,LEN83
FRO91,BIL84,WEE85
FUL91,MAW79,CHE82
GEM91,POL79,CHE82
GIN91,Jun-85,RHY82
HIC91,BLT75,TIT79
HOL91,ILE86,TYS83
HRM91,INI86,RED79
INI91,VER79,NA
IVY91,ILE87,CRE80
KIT91,TER85,VER81
KIW91,BLO75,Sep-83
KNO91,TRK87,LEN83
LPW91,FEA87,TIT79
MAD91,BOT79,BAR82
MAL91,SME84,RED79
MEA91,BAR84,TYS83
MLR91,JUG87,LENOT
MOO91,MOY82,RED77
PAP91,CAL82,TYS83
PEL91,MOS83,LENOT
PEN91,BAR80,RED77
PID91,LIM85,SCO81
PRA91,TER84,RED77
SAM91,CAL84,LEN83
SCA91,LOB86,VER81
SEM91,WHE84,BAR82
SIS91,SIC78,LEN83
SKU91,FUL86,SOR84
SRL91,OCH87,LENOT
SUL91,TER80,KIW79
SWI91,TER83,RHY82
SYC91,PET87,VER84
THS91,PAP87,NA
THU91,UMB84,BLC81
TLW91,CAN87,BITES
TNY91,TIT84,LEN83
TOG91,BCL84,LEN83
TWE91,Sep-84,VIC80
WAN91,WAX80,TOPIS
WHA91,CUR78,RHY82
WHS91,BAR79,VER81
WIL91,FUL85,BAR82
WOD91,CAP84,CUR81
ALB92,FUL87,VER84
ANK92,KIL82,VER81
AVO92,UPT78,FOL84
CFI92,CFU82,BLC81
CHA92,FID86,FOL84
CRO92,OCH85,LENOT
CWR92,LIM80,OCH83
DAN92,BUC82,VER81
DIC92,HIC84,VER81
DIT92,PIB83,MAD83
DOC92,HIC88,OCH83
EBO92,PET83,AVO84
EQU92,INI87,PEC85
FAN92,COL80,AVO84
FEN92,RED82,WAX85
FIE92,SIE82,LENOT
GIN92,Jun-85,RHY82
HAL92,TUR83,CROSS
HIC92,BLT75,VER81
HRM92,INI86,LEN83
INI92,VER79,AVO84
IVY92,ILE87,VER81
JUG92,BRF79,PRK83
KIT92,TER85,SAF82
KIW92,BLO75,SOR84
MAS92,TUR85,FRE87
MEA92,BAR84,SAF82
OAT92,BAR83,TIT79
ORP92,CLA87,AVO84
PEC92,SCO76,RED81
PEL92,MOS83,LENOT
PEN92,BAR80,VER84
PID92,LIM85,LEN83
POR92,OAT87,FLY86
PTN92,LIM83,VER81
QUN92,CAF89,CROSS
